type,commodity,abbrv,pct,scenario,total_species
land,cashmere,cshc,5,NoBioC,3
land,cashmere,cshc,10,NoBioC,9
land,cashmere,cshc,15,NoBioC,22
land,cashmere,cshc,20,NoBioC,33
land,cashmere,cshc,25,NoBioC,49
land,cashmere,cshc,30,NoBioC,55
land,cashmere,cshc,35,NoBioC,63
land,cashmere,cshc,40,NoBioC,82
land,cashmere,cshc,45,NoBioC,97
land,cashmere,cshc,50,NoBioC,118
land,cashmere,cshc,55,NoBioC,146
land,cashmere,cshc,60,NoBioC,190
land,cashmere,cshc,65,NoBioC,251
land,cashmere,cshc,70,NoBioC,307
land,cashmere,cshc,75,NoBioC,379
land,cashmere,cshc,80,NoBioC,443
land,cashmere,cshc,85,NoBioC,497
land,cashmere,cshc,90,NoBioC,546
land,cashmere,cshc,95,NoBioC,598
land,cashmere,cshc,100,NoBioC,622
land,cashmere,cshc,5,Nature,102
land,cashmere,cshc,10,Nature,176
land,cashmere,cshc,15,Nature,234
land,cashmere,cshc,20,Nature,274
land,cashmere,cshc,25,Nature,322
land,cashmere,cshc,30,Nature,361
land,cashmere,cshc,35,Nature,408
land,cashmere,cshc,40,Nature,434
land,cashmere,cshc,45,Nature,463
land,cashmere,cshc,50,Nature,487
land,cashmere,cshc,55,Nature,505
land,cashmere,cshc,60,Nature,522
land,cashmere,cshc,65,Nature,547
land,cashmere,cshc,70,Nature,564
land,cashmere,cshc,75,Nature,582
land,cashmere,cshc,80,Nature,588
land,cashmere,cshc,85,Nature,598
land,cashmere,cshc,90,Nature,607
land,cashmere,cshc,95,Nature,617
land,cashmere,cshc,100,Nature,622
land,cotton,cc,5,NoBioC,142
land,cotton,cc,10,NoBioC,325
land,cotton,cc,15,NoBioC,808
land,cotton,cc,20,NoBioC,1160
land,cotton,cc,25,NoBioC,1437
land,cotton,cc,30,NoBioC,1765
land,cotton,cc,35,NoBioC,2038
land,cotton,cc,40,NoBioC,2268
land,cotton,cc,45,NoBioC,2568
land,cotton,cc,50,NoBioC,2953
land,cotton,cc,55,NoBioC,3457
land,cotton,cc,60,NoBioC,3947
land,cotton,cc,65,NoBioC,4367
land,cotton,cc,70,NoBioC,4685
land,cotton,cc,75,NoBioC,4896
land,cotton,cc,90,NoBioC,5577
land,cotton,cc,95,NoBioC,5723
land,cotton,cc,100,NoBioC,5867
land,cotton,cc,5,Nature,1681
land,cotton,cc,10,Nature,1933
land,cotton,cc,15,Nature,2084
land,cotton,cc,20,Nature,2202
land,cotton,cc,25,Nature,2353
land,cotton,cc,30,Nature,2573
land,cotton,cc,35,Nature,2840
land,cotton,cc,40,Nature,3085
land,cotton,cc,45,Nature,3393
land,cotton,cc,50,Nature,3657
land,cotton,cc,55,Nature,3963
land,cotton,cc,60,Nature,4320
land,cotton,cc,65,Nature,4727
land,cotton,cc,70,Nature,5047
land,cotton,cc,75,Nature,5292
land,cotton,cc,80,Nature,5473
land,cotton,cc,85,Nature,5606
land,cotton,cc,90,Nature,5715
land,cotton,cc,95,Nature,5819
land,cotton,cc,100,Nature,5867
land,wool,wc,5,NoBioC,19
land,wool,wc,10,NoBioC,49
land,wool,wc,15,NoBioC,126
land,wool,wc,20,NoBioC,192
land,wool,wc,25,NoBioC,243
land,wool,wc,30,NoBioC,329
land,wool,wc,35,NoBioC,422
land,wool,wc,40,NoBioC,546
land,wool,wc,45,NoBioC,644
land,wool,wc,50,NoBioC,776
land,wool,wc,55,NoBioC,943
land,wool,wc,60,NoBioC,1108
land,wool,wc,65,NoBioC,1258
land,wool,wc,70,NoBioC,1400
land,wool,wc,75,NoBioC,1531
land,wool,wc,80,NoBioC,1661
land,wool,wc,85,NoBioC,1753
land,wool,wc,90,NoBioC,1843
land,wool,wc,95,NoBioC,1924
land,wool,wc,100,NoBioC,2007
land,wool,wc,5,Nature,368
land,wool,wc,10,Nature,545
land,wool,wc,15,Nature,666
land,wool,wc,20,Nature,767
land,wool,wc,25,Nature,877
land,wool,wc,30,Nature,981
land,wool,wc,35,Nature,1110
land,wool,wc,40,Nature,1211
land,wool,wc,45,Nature,1280
land,wool,wc,50,Nature,1353
land,wool,wc,55,Nature,1423
land,wool,wc,60,Nature,1494
land,wool,wc,65,Nature,1574
land,wool,wc,70,Nature,1657
land,wool,wc,75,Nature,1737
land,wool,wc,80,Nature,1806
land,wool,wc,85,Nature,1872
land,wool,wc,90,Nature,1926
land,wool,wc,95,Nature,1975
land,wool,wc,100,Nature,2007
land,wool,wc,0,Nature,0
land,wool,wc,0,NoBioC,0
land,cotton,cc,0,NoBioC,0
land,cotton,cc,0,Nature,0
land,cashmere,cshc,0,NoBioC,0
land,cashmere,cshc,0,Nature,0
