,scenario,cotton_kg,pct,nature
,baseline,0,0,Nature
,baseline,0,0,NoBioC
2,land_s1_cc_100pct_SPAM_Production,51489719.13,100,Nature
2,land_s1_cc_100pct_noBioC_SPAM_Production,51489719.13,100,NoBioC
3,land_s1_cc_10pct_noBioC_SPAM_Production,3185.653435,10,NoBioC
4,land_s1_cc_10pct_SPAM_Production,743491.0291,10,Nature
5,land_s1_cc_15pct_noBioC_SPAM_Production,8363.476321,15,NoBioC
6,land_s1_cc_15pct_SPAM_Production,1308178.98,15,Nature
7,land_s1_cc_1pct_SPAM_Production,35404.31512,1,Nature
8,land_s1_cc_20pct_noBioC_SPAM_Production,17898.11572,20,NoBioC
9,land_s1_cc_20pct_SPAM_Production,2056708.655,20,Nature
10,land_s1_cc_25pct_noBioC_SPAM_Production,33670.24198,25,NoBioC
11,land_s1_cc_25pct_SPAM_Production,3428045.95,25,Nature
12,land_s1_cc_30pct_noBioC_SPAM_Production,58253.39342,30,NoBioC
13,land_s1_cc_30pct_SPAM_Production,4652783.38,30,Nature
14,land_s1_cc_35pct_noBioC_SPAM_Production,96305.17873,35,NoBioC
15,land_s1_cc_35pct_SPAM_Production,6586431.97,35,Nature
16,land_s1_cc_40pct_noBioC_SPAM_Production,154614.5504,40,NoBioC
17,land_s1_cc_40pct_SPAM_Production,7867072.19,40,Nature
18,land_s1_cc_45pct_noBioC_SPAM_Production,240873.1273,45,NoBioC
19,land_s1_cc_45pct_SPAM_Production,9737981.272,45,Nature
20,land_s1_cc_50pct_noBioC_SPAM_Production,366983.1788,50,NoBioC
21,land_s1_cc_50pct_SPAM_Production,12110579.15,50,Nature
22,land_s1_cc_55pct_noBioC_SPAM_Production,550612.1997,55,NoBioC
23,land_s1_cc_55pct_SPAM_Production,14723707.34,55,Nature
24,land_s1_cc_5pct_noBioC_SPAM_Production,854.6737841,5,NoBioC
25,land_s1_cc_5pct_SPAM_Production,300047.394,5,Nature
26,land_s1_cc_60pct_noBioC_SPAM_Production,820033.5736,60,NoBioC
27,land_s1_cc_60pct_SPAM_Production,17539689.03,60,Nature
28,land_s1_cc_65pct_noBioC_SPAM_Production,1237371.969,65,NoBioC
29,land_s1_cc_65pct_SPAM_Production,20230722.47,65,Nature
30,land_s1_cc_70pct_noBioC_SPAM_Production,2009035.435,70,NoBioC
31,land_s1_cc_70pct_SPAM_Production,22942819.49,70,Nature
32,land_s1_cc_75pct_noBioC_SPAM_Production,4110190.785,75,NoBioC
33,land_s1_cc_75pct_SPAM_Production,26678315.61,75,Nature
35,land_s1_cc_80pct_SPAM_Production,30367925.4,80,Nature
37,land_s1_cc_85pct_SPAM_Production,33897491.04,85,Nature
38,land_s1_cc_90pct_noBioC_SPAM_Production,28792238.21,90,NoBioC
39,land_s1_cc_90pct_SPAM_Production,37519576.79,90,Nature
40,land_s1_cc_95pct_noBioC_SPAM_Production,38035454.35,95,NoBioC
41,land_s1_cc_95pct_SPAM_Production,43388049.61,95,Nature
