,scenario,sheep_hds,pct,nature
1,land_s1_wc100pct_noBioC_sheep_heads,5044846.721,100,NoBioC
2,land_s1_wc100pct_sheep_heads,5044846.721,100,Nature
3,land_s1_wc10pct_noBioC_sheep_heads,139915.3187,10,NoBioC
4,land_s1_wc10pct_sheep_heads,780038.281,10,Nature
5,land_s1_wc15pct_noBioC_sheep_heads,222629.125,15,NoBioC
6,land_s1_wc15pct_sheep_heads,1064961.918,15,Nature
7,land_s1_wc20pct_noBioC_sheep_heads,313580.4996,20,NoBioC
8,land_s1_wc20pct_sheep_heads,1335611.221,20,Nature
9,land_s1_wc25pct_noBioC_sheep_heads,413479.1518,25,NoBioC
10,land_s1_wc25pct_sheep_heads,1593791.388,25,Nature
11,land_s1_wc30pct_noBioC_sheep_heads,523264.8931,30,NoBioC
12,land_s1_wc30pct_sheep_heads,1843134.511,30,Nature
13,land_s1_wc35pct_noBioC_sheep_heads,644050.3709,35,NoBioC
14,land_s1_wc35pct_sheep_heads,2092992.94,35,Nature
15,land_s1_wc40pct_noBioC_sheep_heads,776583.911,40,NoBioC
16,land_s1_wc40pct_sheep_heads,2341539.353,40,Nature
17,land_s1_wc45pct_noBioC_sheep_heads,921878.856,45,NoBioC
18,land_s1_wc45pct_sheep_heads,2603658.412,45,Nature
19,land_s1_wc50pct_noBioC_sheep_heads,1081041.984,50,NoBioC
20,land_s1_wc50pct_sheep_heads,2859038.947,50,Nature
21,land_s1_wc55pct_noBioC_sheep_heads,1256255.146,55,NoBioC
22,land_s1_wc55pct_sheep_heads,3114641.157,55,Nature
23,land_s1_wc5pct_noBioC_sheep_heads,65180.1524,5,NoBioC
24,land_s1_wc5pct_sheep_heads,449592.1408,5,Nature
25,land_s1_wc60pct_noBioC_sheep_heads,1450255.874,60,NoBioC
26,land_s1_wc60pct_sheep_heads,3368548.588,60,Nature
27,land_s1_wc65pct_noBioC_sheep_heads,1667885.195,65,NoBioC
28,land_s1_wc65pct_sheep_heads,3614906.39,65,Nature
29,land_s1_wc70pct_noBioC_sheep_heads,1913710.789,70,NoBioC
30,land_s1_wc70pct_sheep_heads,3849823.832,70,Nature
31,land_s1_wc75pct_noBioC_sheep_heads,2193352.19,75,NoBioC
32,land_s1_wc75pct_sheep_heads,4077190.968,75,Nature
33,land_s1_wc80pct_noBioC_sheep_heads,2515792.392,80,NoBioC
34,land_s1_wc80pct_sheep_heads,4286386.276,80,Nature
35,land_s1_wc85pct_noBioC_sheep_heads,2893384.598,85,NoBioC
36,land_s1_wc85pct_sheep_heads,4480385.076,85,Nature
37,land_s1_wc90pct_noBioC_sheep_heads,3352882.836,90,NoBioC
38,land_s1_wc90pct_sheep_heads,4662269.084,90,Nature
39,land_s1_wc95pct_noBioC_sheep_heads,3944418.361,95,NoBioC
40,land_s1_wc95pct_sheep_heads,4850355.839,95,Nature
,,0,0,NoBioC
,,0,0,Nature
